"","muni","county","year","area","pop","whitepct","blackpct","aapipct","otherpct","hispanicpct","households","medinc","povpct","lmi","dcamri","dcamrirank","ciprops","totunits","occunits","occpct","ownoct","rentoct","less75own","builtpost2010","built2000_2009","built1990_1999","built1980_1989","built1970_1979","built1960_1969","built1950_1959","built1940_1949","built_pre1939","singledetatched","singleattatched","duplex","triquadplex","units5_9","units10_19","units20more","mobile","boatrv","gas","elec","bottled_tank","fueloil","wood","otherfuels","workers","automobile","transit","taxi","moto","bike","walk","othertransport","workedhome","elecutil","reselec","commelec","induselec","streetelec","totelec","gasutil","resgas","commgas","indusgas","streetgas","totgas","reselecghg","commelecghg","induselecghg","streetelecghg","resgasghg","commgasghg","indusgasghg","streetgasghg","otherheatghg","vehiclesghg","totghg","mpo","lhtruck","shtruck","icbus","lightcommtruck","motorhome","motorcycles","passcars","passtrucks","refusetrucks","schoolbus","sulhtruck","sushtruck","transbus","totvmt","totpass","evs","pctev","commsolar","ressolar","othersolar","totsolar","kwsolar","units4less","totalproj","lifetimerate","commparcels","totalcommproj","lifetimecommrate"
"413","raritan borough","Somerset",2020,2,7833,0.67,0.02,0.17,0.14,0.22,3005,82471,0.06,0,27,263,183,3242,3005,0.93,0.57,0.44,0,362,262,493,154,185,504,459,166,657,1529,314,636,248,53,88,366,0,8,0.84,0.1,0.02,0.04,0,0.01,4246,0.92,0.02,0,0,0,0.01,0.01,0.04,"PSEG",21972884,27831039,71927366,542890,122274179,"PSEG",2059986,1278613,3677024,0,7015623,4907,6215,16061,121,10972,6810,19584,0,827,62124,127621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5228,"33","0.0063",9,113,2,124,17077.14,2762,81,0.03,180,22,"0.12"
"414","raritan township","Hunterdon",2020,37.6,22252,0.85,0.03,0.07,0.04,0.05,8268,123828,0.04,0,16,453,413,8546,8268,0.97,0.89,0.11,0,315,1213,1488,3062,811,669,451,145,392,5611,1716,97,189,493,199,148,93,0,0.8,0.04,0.04,0.11,0,0.01,11672,0.86,0.03,0,0,0,0,0,0.11,"JCPL",90235013,94327723,64494648,219186,249276570,"ETG",11112118,4589052,0,0,15701170,20150,21063,14402,49,59185,24442,0,0,8165,84919,232374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16670,"133","0.008",2,9,1,12,10122.56,7547,211,0.03,418,41,"0.1"
"415","readington township","Hunterdon",2020,47.8,15889,0.88,0.01,0.05,0.06,0.1,6426,121885,0.03,0,16,458,292,6655,6426,0.97,0.89,0.11,0,382,328,1488,1267,1156,562,548,217,707,4949,693,174,280,314,70,175,0,0,0.61,0.05,0.03,0.27,0.02,0.01,7453,0.85,0.05,0,0,0,0,0.01,0.09,"JCPL",73779984,37986169,15307213,191328,127264694,"ETG/PSEG",4851560,2200173,150709,0,7202442,16475,8482,3418,43,25840,11718,803,0,16734,66983,150496,"NJTPA","8491140.00","2118813.00","501787.00","4930986.00","180980.00","963131.00","93330537.00","16104119.00","285819.00","635181.00","1121250.00","2745103.00","388627.00","131797473.00",12780,"97","0.0076",8,106,5,119,4846.96,5858,120,0.02,281,35,"0.12"
"416","red bank borough","Monmouth",2020,2.2,12039,0.74,0.1,0.02,0.15,0.27,5657,78985,0.11,0,37,124,627,5898,5657,0.96,0.48,0.52,0,184,240,361,354,570,742,723,523,2201,2350,481,528,640,347,304,1248,0,0,0.77,0.16,0.02,0.03,0,0.02,6779,0.78,0.05,0.02,0,0.03,0.05,0,0.07,"JCPL",36956942,82645449,25915910,608631,146126932,"NJNG",2683563,2763938,0,0,5447501,8253,18455,5787,136,14293,14721,0,0,1467,96960,160071,"NJTPA","10411600.00","2598030.00","615277.00","6046237.00","221912.00","1180965.00","114439309.00","19746423.00","350462.00","778841.00","1374845.00","3365968.00","476524.00","161606393.00",7444,"60","0.0081",17,237,10,255,32103.39,3876,212,0.05,609,16,"0.03"
"417","ridgefield borough","Bergen",2020,2.9,11209,0.59,0.02,0.32,0.07,0.3,3865,79696,0.08,0,27,259,313,4039,3865,0.96,0.47,0.53,0,69,188,198,124,295,592,1038,665,870,1746,305,1036,347,170,155,280,0,0,0.86,0.08,0.02,0.03,0,0.01,5947,0.88,0.07,0,0,0,0.02,0,0.02,"PSEG",28317285,59394705,21750530,743786,110206306,"PSEG",3243454,4022395,144472281,0,151738131,6323,13263,4857,166,17275,21424,769480,0,887,55798,889473,"NJTPA","5824699.00","1453450.00","344213.00","3382526.00","124148.00","660682.00","64022286.00","11047001.00","196063.00","435717.00","769148.00","1883068.00","266588.00","90409589.00",6673,"26","0.0039",6,45,0,51,958.57,3446,64,0.02,312,26,"0.08"
"418","ridgefield park village","Bergen",2020,1.9,12928,0.69,0.04,0.1,0.17,0.47,4795,81908,0.09,0,29,223,206,5146,4795,0.93,0.5,0.5,0,22,116,90,203,511,772,775,540,2117,1887,132,1633,183,67,409,817,18,0,0.72,0.11,0.03,0.11,0,0.03,6996,0.76,0.14,0.03,0,0.01,0.02,0,0.04,"PSEG",31469818,55371125,1162595,511598,88515136,"PSEG",3126475,1767464,78377,0,4972315,7027,12364,260,114,16652,9414,417,0,3284,44337,93870,"NJTPA","5379146.00","1342270.00","317882.00","3123785.00","114651.00","610145.00","59124997.00","10201977.00","181065.00","402387.00","710314.00","1739025.00","246196.00","83493840.00",7146,"38","0.0053",4,98,2,104,2334.27,3869,202,0.05,211,37,"0.18"
"419","ridgewood village","Bergen",2020,5.8,25110,0.76,0.02,0.15,0.07,0.09,8417,178958,0.03,0,10,541,333,8740,8417,0.96,0.81,0.19,0,109,110,180,502,470,1131,2106,1013,3119,6938,247,386,260,182,197,530,0,0,0.86,0.08,0.01,0.05,0,0.01,11384,0.61,0.18,0,0,0,0.03,0.01,0.17,"PSEG",93813400,61827652,1569882,1387633,158598567,"PSEG",10816700,2454872,43272,0,13314844,20949,13806,351,310,57611,13075,230,0,2962,107087,216381,"NJTPA","12377858.00","3088675.00","731474.00","7188086.00","263822.00","1403993.00","136051467.00","23475585.00","416649.00","925928.00","1634489.00","4001641.00","566517.00","192126184.00",15805,"291","0.0184",4,67,15,86,2083.6,7725,157,0.02,326,39,"0.12"
"420","ringwood borough","Passaic",2020,28.5,12229,0.91,0.02,0.03,0.05,0.1,4256,123559,0.02,0,18,417,83,4368,4256,0.97,0.95,0.06,0,27,187,155,235,647,1273,994,336,514,4270,18,38,42,0,0,0,0,0,0.68,0.02,0.02,0.26,0,0.01,6503,0.87,0.02,0,0,0,0.01,0,0.1,"RECO/JCPL",43939646,15565030,771893,181081,60457650,"PSEG",3623028,560434,4606,0,4188068,9812,3476,172,40,19297,2985,25,0,6869,40711,83387,"NJTPA","5563382.00","1388243.00","328770.00","3230774.00","118578.00","631042.00","61150019.00","10551393.00","187267.00","416170.00","734641.00","1798587.00","254628.00","86353494.00",8988,"59","0.0066",18,72,1,91,999.93,4310,161,0.04,85,42,"0.49"
"421","river edge borough","Bergen",2020,1.9,11510,0.64,0.02,0.29,0.05,0.08,4119,128231,0.03,0,18,420,129,4262,4119,0.97,0.76,0.24,0,89,185,82,263,223,533,1073,1082,732,3129,101,87,646,111,43,145,0,0,0.85,0.06,0.03,0.04,0,0.03,6046,0.74,0.13,0,0,0,0.01,0.01,0.12,"PSEG",34268894,16237325,432825,579689,51518733,"PSEG",3424209,1315441,1841,0,4741491,7652,3626,97,129,18238,7006,10,0,1301,40450,78509,"NJTPA","4276733.00","1067182.00","252735.00","2483589.00","91154.00","485101.00","47007791.00","8111162.00","143958.00","319921.00","564740.00","1382625.00","195740.00","66382431.00",7587,"70","0.0092",1,66,0,67,792.06,3718,69,0.02,128,8,"0.06"
"422","river vale township","Bergen",2020,4.3,10002,0.88,0.01,0.08,0.03,0.05,3429,161250,0.02,0,14,498,33,3644,3429,0.94,0.89,0.11,0,138,175,144,463,682,807,906,97,232,2941,143,9,74,24,63,376,14,0,0.85,0.12,0.02,0.01,0,0,4687,0.81,0.08,0,0,0,0.01,0,0.1,"RECO/PSEG",38214780,11975421,0,355243,50545444,"PSEG",4138810,458275,0,0,4597085,8533,2674,0,79,22044,2441,0,0,467,31619,67858,"NJTPA","3945976.00","984648.00","233189.00","2291512.00","84105.00","447583.00","43372275.00","7483856.00","132824.00","295179.00","521064.00","1275696.00","180602.00","61248509.00",6916,"70","0.0101",NA,39,0,39,392.46,3371,66,0.02,33,16,"0.48"
"423","riverdale borough","Morris",2020,2.1,4179,0.91,0.02,0.03,0.05,0.12,1853,112688,0.03,0,16,449,131,1896,1853,0.98,0.73,0.27,0,307,728,156,31,41,139,304,50,140,741,83,32,14,167,44,815,0,0,0.73,0.19,0.01,0.07,0.01,0.01,2305,0.87,0.04,0,0,0,0.01,0,0.08,"JCPL",14010933,21266686,5321481,45768,40644868,"PSEG",1163740,696487,1447417,0,3307644,3129,4749,1188,10,6198,3710,7709,0,1404,30913,59010,"NJTPA","4187315.00","1044870.00","247451.00","2431663.00","89248.00","474958.00","46024958.00","7941574.00","140948.00","313232.00","552933.00","1353718.00","191647.00","64994515.00",3258,"14","0.0043",11,16,0,27,3201.74,1010,47,0.05,134,27,"0.2"
"424","riverside township","Burlington",2020,1.6,7860,0.76,0.08,0.02,0.14,0.19,2983,61975,0.14,1,40,103,170,3325,2983,0.9,0.56,0.44,0,49,27,137,120,222,313,602,316,1539,1648,733,479,183,145,87,28,22,0,0.7,0.13,0.04,0.11,0,0.01,4087,0.89,0.04,0.01,0,0,0.03,0,0.03,"PSEG",23991786,12681584,1890984,440271,39004625,"PSEG",1855478,569794,41926,0,2467197,5357,2832,422,98,9883,3035,223,0,2302,19096,43248,"DVRPC","800904.00","335703.00","226300.00","1711134.00","78461.00","332997.00","14027519.00","17268487.00","128997.00","248550.00","548282.00","849230.00","102212.00","36658775.00",4848,"17","0.0035",NA,19,0,19,166.38,3231,218,0.07,174,12,"0.07"
"425","riverton borough","Burlington",2020,0.9,2691,0.87,0.08,0.01,0.04,0.05,996,100278,0.04,0,21,372,47,1063,996,0.94,0.78,0.22,0,0,33,21,30,12,14,157,78,718,693,115,64,136,33,22,0,0,0,0.78,0.06,0,0.16,0,0.01,1312,0.78,0.06,0,0,0.01,0,0.01,0.14,"PSEG",9852462,3250347,106923,117820,13327552,"PSEG",903082,206194,1645,19876,1130797,2200,726,24,26,4810,1098,9,0,817,8093,17803,"DVRPC","339428.00","142273.00","95907.00","725189.00","33252.00","141126.00","5944953.00","7318496.00","54670.00","105337.00","232365.00","359909.00","43318.00","15536225.00",1913,"12","0.0063",NA,3,0,3,17.29,1018,43,0.04,47,7,"0.15"
"426","robbinsville township","Mercer",2020,20.6,14518,0.65,0.06,0.26,0.03,0.05,5366,151938,0.02,0,10,537,196,5576,5366,0.96,0.86,0.14,0,296,1209,1758,1376,263,327,158,21,168,2594,1759,37,228,279,142,393,144,0,0.84,0.1,0.02,0.04,0.01,0,8057,0.84,0.06,0.01,0,0,0.01,0,0.08,"PSEG/JCPL",55062658,104986671,17946,1174000,161241275,"PSEG",3943113,3170689,44960,0,7158762,12296,23444,4,262,21002,16888,239,0,4088,72485,150707,"DVRPC","3040061.00","1274256.00","858987.00","6495101.00","297820.00","1263987.00","53245494.00","65547522.00","489644.00","943444.00","2081161.00","3223496.00","387976.00","139148950.00",9874,"128","0.013",29,244,3,276,24158.62,4398,272,0.06,187,24,"0.13"
"427","rochelle park township","Bergen",2020,1,5580,0.76,0.04,0.11,0.1,0.25,2139,87171,0.07,0,30,209,153,2189,2139,0.98,0.79,0.21,0,67,171,0,70,45,337,485,415,599,1621,30,180,53,0,77,218,0,10,0.81,0.09,0.02,0.07,0,0.01,3090,0.84,0.09,0,0,0,0.02,0.01,0.03,"PSEG",16869782,31676277,19323195,332596,68201850,"PSEG",1669945,771213,47846,0,2489004,3767,7073,4315,74,8894,4108,255,0,987,41779,71252,"NJTPA","4498590.00","1122543.00","265846.00","2612427.00","95883.00","510265.00","49446342.00","8531932.00","151426.00","336517.00","594036.00","1454350.00","205894.00","69826051.00",3811,"11","0.0029",1,86,1,88,732.37,1779,87,0.05,150,25,"0.17"
"428","rockaway borough","Morris",2020,2.1,6345,0.89,0.02,0.05,0.03,0.15,2588,86442,0.04,0,20,387,198,2665,2588,0.97,0.65,0.36,0,15,6,166,170,579,314,506,303,606,1571,92,162,109,167,245,319,0,0,0.62,0.18,0.01,0.16,0,0.02,3328,0.93,0.01,0,0,0,0.03,0,0.03,"JCPL",20412360,22490417,8542324,242088,51687189,"NJNG",1597889,3226230,0,0,4824119,4558,5022,1908,54,8511,17183,0,106,2304,57908,97553,"NJTPA","7241817.00","1807067.00","427958.00","4205477.00","154352.00","821423.00","79598568.00","13734677.00","243765.00","541725.00","956278.00","2341208.00","331447.00","112405762.00",4342,"25","0.0058",16,184,7,207,13122.76,2061,99,0.05,199,33,"0.17"
"429","rockaway township","Morris",2020,45.9,25395,0.85,0.03,0.05,0.06,0.14,9218,123230,0.04,0,17,423,197,10050,9218,0.92,0.82,0.18,0,451,977,1515,952,1301,1729,2114,395,616,7361,592,155,268,341,345,927,61,0,0.52,0.09,0.04,0.34,0.01,0,13163,0.83,0.03,0,0,0,0.01,0,0.12,"JCPL",91877573,87754299,133965634,662964,314260470,"NJNG",4596700,4984458,0,0,9581158,20516,19596,29915,148,24483,26548,0,0,23607,141345,286157,"NJTPA","17421543.00","4347236.00","1029533.00","10117059.00","371322.00","1976087.00","191489227.00","33041332.00","586421.00","1303220.00","2300504.00","5632214.00","797359.00","270413057.00",18459,"76","0.0041",1,4,0,5,210.4,8879,582,0.07,200,33,"0.17"
"430","rockleigh borough","Bergen",2020,1,650,0.86,0.06,0.04,0.05,0.1,76,242500,0.1,0,13,501,16,81,76,0.94,0.95,0.05,0,2,8,8,14,6,0,4,3,36,72,3,3,1,1,0,0,1,0,0.93,0.05,0.01,0,0,0,106,0.76,0,0,0,0,0,0,0.24,"RECO",1865364,29362517,0,43615,31271496,"PSEG",205588,721003,116320,0,1042911,417,6557,0,10,1095,3840,620,0,4,5357,17899,"NJTPA","911927.00","227555.00","53891.00","529575.00","19437.00","103438.00","10023459.00","1729541.00","30696.00","68217.00","120419.00","294817.00","41738.00","14154710.00",174,"2","0.0115",NA,2,0,2,36.75,74,1,0.01,15,4,"0.27"
"431","rocky hill borough","Somerset",2020,0.6,655,0.88,0.08,0,0.05,0.08,234,111346,0.04,0,17,428,13,271,234,0.86,0.88,0.12,0,4,0,6,10,11,90,26,13,111,202,44,12,7,6,0,0,0,0,0.78,0.1,0.02,0.11,0,0,295,0.8,0.01,0,0,0,0.02,0.01,0.15,"PSEG",2750116,1466160,476037,36433,4728746,"PSEG",223742,54303,44755,0,322799,614,327,106,8,1192,289,238,0,148,2795,5718,"NJTPA","496722.00","123948.00","29354.00","288457.00","10587.00","56342.00","5459731.00","942073.00","16720.00","37157.00","65592.00","160585.00","22734.00","7710002.00",434,"10","0.023",3,10,1,14,675.94,285,9,0.03,12,5,"0.42"
"432","roosevelt borough","Monmouth",2020,1.9,913,0.88,0.04,0.02,0.07,0.23,288,110625,0.04,0,20,378,6,299,288,0.96,0.81,0.19,0,0,4,6,51,39,11,20,27,141,229,56,8,0,5,0,1,0,0,0.89,0.03,0.03,0.04,0,0,396,0.87,0.05,0,0,0,0,0.01,0.07,"JCPL",2900751,651709,70386,38652,3661498,"PSEG",294682,25356,0,0,320038,648,146,16,9,1570,135,0,0,157,2927,5606,"NJTPA","597649.00","149133.00","35318.00","347068.00","12738.00","67790.00","6569071.00","1133489.00","20117.00","44707.00","78919.00","193214.00","27354.00","9276567.00",589,"5","0.0085",2,8,0,10,127.61,302,3,0.01,5,0,"0"
"433","roseland borough","Essex",2020,3.6,5841,0.84,0,0.06,0.1,0.09,2237,142776,0.02,0,15,478,89,2373,2237,0.94,0.77,0.23,0,112,441,243,226,291,227,366,257,210,1215,680,39,47,141,73,178,0,0,0.88,0.1,0.01,0.01,0,0,3014,0.82,0.07,0,0,0,0,0.01,0.11,"PSEG",23859373,60136137,5673410,810040,90478960,"PSEG",2447791,1640473,306534,4204,4399002,5328,13428,1267,181,13037,8737,1633,0,173,56147,99931,"NJTPA","6470460.00","1614588.00","382374.00","3757534.00","137911.00","733930.00","71120188.00","12271739.00","217800.00","484023.00","854420.00","2091836.00","296144.00","100432947.00",4219,"54","0.0128",11,37,1,49,5731.41,2139,31,0.01,88,11,"0.13"
"434","roselle borough","Union",2020,2.6,21699,0.23,0.48,0.02,0.28,0.33,7445,65307,0.1,1,41,92,310,8147,7445,0.91,0.58,0.42,0,151,199,314,144,764,935,1501,1701,2438,4335,352,1361,509,648,277,610,55,0,0.82,0.06,0.03,0.07,0,0.02,10898,0.77,0.14,0.02,0,0,0.01,0.02,0.04,"PSEG",51226101,32182575,10690658,1227762,95327096,"ETG",8226643,3553447,0,0,11780090,11439,7186,2387,274,43816,18926,0,0,3766,55939,143733,"NJTPA","6332962.00","1580279.00","374249.00","3677686.00","134981.00","718334.00","69608888.00","12010965.00","213173.00","473738.00","836265.00","2047385.00","289849.00","98298754.00",11487,"21","0.0018",NA,NA,NA,NA,NA,6530,1203,0.18,307,40,"0.13"
"435","roselle park borough","Union",2020,1.2,13574,0.5,0.1,0.11,0.29,0.34,5042,80842,0.05,0,30,211,206,5150,5042,0.98,0.56,0.44,0,22,0,240,105,564,711,967,858,1683,3022,15,474,474,187,313,665,0,0,0.81,0.07,0.01,0.11,0,0,7596,0.83,0.1,0.01,0,0,0.01,0.01,0.05,"PSEG",33125752,11008647,516030,1019430,45669859,"ETG",4689368,2281558,0,0,6970926,7397,2458,115,228,24976,12152,0,0,2942,32801,83069,"NJTPA","3737976.00","932745.00","220898.00","2170722.00","79671.00","423990.00","41086034.00","7089366.00","125824.00","279620.00","493598.00","1208451.00","171082.00","58019977.00",8612,"26","0.003",8,465,7,480,3930.67,4006,245,0.06,198,25,"0.13"
"436","roxbury township","Morris",2020,21.9,22882,0.8,0.07,0.06,0.07,0.1,8138,106451,0.06,0,21,371,446,8534,8138,0.95,0.87,0.13,0,41,543,1159,1131,1393,1453,1238,473,1103,7004,477,211,94,324,244,166,0,14,0.55,0.06,0.04,0.34,0.01,0,11444,0.9,0.04,0,0,0,0,0.01,0.05,"JCPL",82134377,90830123,7749677,678780,181392957,"NJNG",5443819,2624675,0,0,8068494,18341,20282,1731,152,28995,13979,0,22,19635,128474,231611,"NJTPA","17076365.00","4261103.00","1009135.00","9916608.00","363965.00","1936934.00","187695209.00","32386678.00","574804.00","1277399.00","2254925.00","5520621.00","781560.00","265055306.00",17015,"63","0.0037",14,233,1,248,4339.58,8028,452,0.06,451,60,"0.13"
"437","rumson borough","Monmouth",2020,7.1,6757,0.95,0.01,0.03,0.02,0.04,2112,222237,0.03,0,6,556,65,2339,2112,0.9,0.93,0.07,0,269,349,77,142,120,238,384,163,597,2271,14,31,16,0,0,0,7,0,0.91,0.06,0,0.03,0,0,2741,0.58,0.25,0,0,0.02,0.03,0.01,0.12,"JCPL",48533491,10366315,0,285396,59185202,"NJNG",4388571,352126,0,0,4740697,10838,2315,0,64,23374,1875,0,0,316,20985,59767,"NJTPA","2256850.00","563157.00","133369.00","1310601.00","48102.00","255989.00","24806209.00","4280294.00","75967.00","168823.00","298016.00","729617.00","103293.00","35030287.00",4605,"74","0.0161",2,61,3,66,962.09,2460,47,0.02,67,5,"0.07"
"438","runnemede borough","Camden",2020,2.1,8307,0.84,0.06,0.04,0.05,0.14,3123,71495,0.08,0,37,131,168,3408,3123,0.92,0.7,0.3,0,27,79,78,189,368,799,1105,347,416,2374,148,146,76,19,307,338,0,0,0.82,0.07,0.01,0.08,0,0.03,4172,0.86,0.04,0,0,0.01,0.02,0,0.06,"PSEG",26815071,20856416,603645,445383,48720515,"PSEG/SJG",1705159,4801396,267454,0,6774010,5988,4657,135,99,9082,25573,1424,0,1371,32112,80441,"DVRPC","1346788.00","564513.00","380543.00","2877417.00","131938.00","559963.00","23588467.00","29038431.00","216919.00","417959.00","921982.00","1428052.00","171879.00","61644850.00",5272,"12","0.0023",4,212,6,222,3245.13,2635,214,0.08,165,9,"0.05"
"439","rutherford borough","Bergen",2020,2.9,18376,0.71,0.02,0.16,0.1,0.23,6835,106817,0.06,0,20,392,287,7033,6835,0.97,0.6,0.4,0,65,188,199,260,352,575,1379,1200,2815,3945,110,1179,364,284,553,486,112,0,0.84,0.07,0.03,0.04,0,0.02,9585,0.64,0.24,0,0,0.01,0.02,0.03,0.07,"PSEG",51566894,90952047,8236058,1014804,151769803,"PSEG",5257782,2339309,273393,0,7870484,11515,20310,1839,227,28004,12459,1456,0,2381,66992,145182,"NJTPA","7639007.00","1906178.00","451431.00","4436133.00","162818.00","866476.00","83964290.00","14487979.00","257134.00","571437.00","1008726.00","2469617.00","349627.00","118570853.00",10961,"70","0.0064",NA,166,1,167,1166.47,5787,181,0.03,280,32,"0.11"
"440","saddle brook township","Bergen",2020,2.7,13762,0.82,0.04,0.07,0.07,0.21,5184,107511,0.05,0,24,303,222,5431,5184,0.96,0.65,0.35,0,311,446,224,241,450,929,1494,742,594,3157,175,818,365,28,206,662,20,0,0.83,0.1,0.02,0.04,0.01,0.01,7355,0.83,0.08,0,0,0,0.01,0.01,0.07,"PSEG",43285441,80866310,11727740,809815,136689306,"PSEG",4116403,2569716,520898,0,7207017,9666,18057,2619,181,21925,13687,2774,0,4044,78568,151521,"NJTPA","8740044.00","2180923.00","516496.00","5075529.00","186286.00","991364.00","96066364.00","16576185.00","294197.00","653800.00","1154118.00","2825570.00","400019.00","135660895.00",8792,"27","0.0031",6,253,3,262,3363.25,4600,161,0.04,222,33,"0.15"
"441","saddle river borough","Bergen",2020,5,3180,0.68,0.05,0.21,0.07,0.04,1259,169018,0.03,0,6,560,20,1366,1259,0.92,0.88,0.12,0,140,211,256,320,93,57,171,8,110,1080,117,8,0,8,30,123,0,0,0.91,0.04,0.01,0.02,0,0.01,1380,0.78,0.04,0,0,0,0.02,0.01,0.15,"RECO/PSEG",37321345,7394300,0,78090,44793735,"PSEG",4070186,200150,0,0,4270336,8334,1651,0,17,21678,1066,0,0,200,30662,63609,"NJTPA","3914506.00","976795.00","231329.00","2273237.00","83434.00","444014.00","43026368.00","7424170.00","131765.00","292825.00","516908.00","1265521.00","179161.00","60760033.00",2750,"83","0.0302",NA,11,0,11,156.46,1173,22,0.02,20,2,"0.1"
"442","salem city","Salem",2020,2.8,4761,0.3,0.63,0,0.06,0.11,2011,22125,0.44,1,99,2,133,2730,2011,0.74,0.34,0.66,1,51,9,130,105,119,284,517,420,1095,1045,605,261,321,221,98,157,22,0,0.49,0.22,0.01,0.28,0,0,1387,0.82,0.04,0,0,0,0.02,0.04,0.07,"ACE",32043609,30184838,15761351,428886,78418684,"SJG",687532,480535,5329620,0,6497687,7155,6740,3520,96,3662,2559,28386,0,3190,15387,70696,"SJTPO","277310.00","339026.00","92836.00","1646291.00","10447.00","271421.00","10831569.00","14994447.00","16079.00","200278.00","185354.00","602786.00","72810.00","29539060.00",2056,"9","0.0044",9,329,17,355,5615.52,2189,557,0.25,127,9,"0.07"
"443","sandyston township","Sussex",2020,42.1,1893,0.97,0,0,0.03,0.01,726,88594,0.04,0,25,297,53,902,726,0.81,0.92,0.09,0,15,120,41,69,149,109,166,52,181,882,9,0,0,0,0,0,11,0,0.01,0.08,0.15,0.63,0.08,0.04,909,0.91,0.02,0,0,0,0,0,0.06,"JCPL",9416742,2274860,0,2677,11694279,"ETG",0,0,0,0,0,2103,508,0,1,0,0,0,0,6288,5037,13937,"NJTPA","1041598.00","259912.00","61554.00","604878.00","22201.00","118146.00","11448742.00","1975472.00","35061.00","77917.00","137542.00","336738.00","47672.00","16167433.00",1519,"6","0.0039",2,20,1,23,269.45,955,24,0.03,52,6,"0.12"
"444","sayreville borough","Middlesex",2020,17.6,44243,0.62,0.13,0.17,0.09,0.19,16780,82693,0.05,0,28,247,466,17252,16780,0.97,0.62,0.38,0,506,1481,1861,3638,2271,2377,3376,459,1283,8619,2470,916,844,1137,2082,1166,18,0,0.84,0.1,0.02,0.04,0,0.01,23677,0.81,0.09,0.01,0,0,0,0.01,0.07,"PSEG/JCPL",124241974,105578031,375129757,2056473,607006235,"PSEG",11732720,38502695,8648984,0,58884399,27743,23576,83767,459,62490,205071,46066,0,4910,182947,637028,"NJTPA","20390538.00","5088097.00","1204989.00","11841221.00","434604.00","2312852.00","224122992.00","38672266.00","686360.00","1525315.00","2692559.00","6592059.00","933247.00","316497099.00",29313,"143","0.0049",11,947,7,965,20824.26,12300,455,0.04,464,46,"0.1"
"445","scotch plains township","Union",2020,9.1,24221,0.73,0.09,0.09,0.09,0.11,8614,139664,0.03,0,14,488,248,8929,8614,0.97,0.84,0.16,0,194,543,599,679,786,1493,2714,1013,908,6715,614,360,290,161,269,520,0,0,0.88,0.06,0.01,0.05,0,0,12333,0.75,0.11,0,0,0,0,0,0.13,"PSEG",87637947,34824239,1369679,1149713,124981578,"ETG/PSEG",12046896,2369595,0,0,14416491,19570,7776,306,257,64163,12621,0,0,2412,85648,192753,"NJTPA","9161792.00","2286162.00","541420.00","5320447.00","195275.00","1039202.00","100702009.00","17376061.00","308392.00","685348.00","1209809.00","2961916.00","419322.00","142207155.00",16886,"163","0.0097",3,213,4,220,3192.6,8185,312,0.04,244,21,"0.09"
"446","sea bright borough","Monmouth",2020,1.2,1293,0.94,0.02,0.01,0.03,0.05,719,91601,0.08,0,18,416,72,1078,719,0.67,0.62,0.38,1,91,39,9,233,323,80,101,5,197,329,227,47,72,130,107,166,0,0,0.59,0.39,0.02,0,0,0,663,0.63,0.27,0,0,0,0.01,0.03,0.05,"JCPL",9373863,6416511,0,148980,15939354,"NJNG",569232,281933,0,0,851165,2093,1433,0,33,3032,1502,0,0,49,6570,14711,"NJTPA","756050.00","188659.00","44679.00","439054.00","16114.00","85757.00","8310137.00","1433908.00","25449.00","56556.00","99836.00","244424.00","34603.00","11735226.00",1040,"33","0.0317",1,19,1,21,104.62,688,17,0.02,67,1,"0.01"
"447","sea girt borough","Monmouth",2020,1.1,1725,1,0,0,0,0.02,695,164602,0.02,0,10,542,42,1136,695,0.61,0.96,0.04,1,88,157,75,49,44,156,217,159,191,1089,0,4,15,0,0,28,0,0,0.93,0.04,0,0.03,0,0,632,0.85,0.04,0,0,0.03,0.01,0.02,0.06,"JCPL",16691498,4136774,0,94059,20922331,"NJNG",1398938,254422,0,0,1653360,3727,924,0,21,7451,1355,0,0,105,7652,21236,"NJTPA","956332.00","238636.00","56515.00","555362.00","20383.00","108475.00","10511541.00","1813759.00","32191.00","71538.00","126283.00","309173.00","43770.00","14843958.00",1350,"26","0.0193",3,45,3,51,1269.81,1206,27,0.02,42,3,"0.07"
"448","sea isle city city","Cape May",2020,2.8,2122,0.99,0,0.01,0.01,0.01,1105,76875,0.07,0,25,296,184,6894,1105,0.16,0.93,0.07,1,542,1910,894,1710,847,252,207,180,352,936,4351,720,142,252,239,254,0,0,0.75,0.23,0,0.01,0,0,711,0.8,0.01,0,0,0.01,0.04,0.01,0.13,"ACE",47245628,12792887,75309,306235,60420059,"SJG",1883280,335016,0,0,2218297,10550,2857,17,68,10031,1784,0,0,95,6576,31978,"SJTPO","203159.00","123070.00","79484.00","793367.00","7308.00","135145.00","4415916.00","6111251.00","12883.00","32215.00","285183.00","390461.00","33728.00","12623166.00",1741,"39","0.0224",NA,42,1,43,238.12,6178,18,0,189,12,"0.06"
