muni,county,year,elecutil,reselec,commelec,induselec,streetelec,totelec,gasutil
Barnegat Light borough,Ocean,2015,ACE,8410148.00,3824053.00,NDA,69603.00,12303804.00,NJNG
Barnegat Light borough,Ocean,2016,ACE,8676055.00,3825494.00,NDA,69603.00,12571152.00,NJNG
Barnegat Light borough,Ocean,2017,ACE,7960336.00,3666055.00,NDA,69603.00,11695994.00,NJNG
Barnegat Light borough,Ocean,2018,ACE,8720206.00,3677813.00,NDA,69603.00,12467622.00,NJNG
Barnegat Light borough,Ocean,2019,ACE,8793857.00,3697529.00,NDA,69604.00,12560990.00,NJNG
Barnegat Light borough,Ocean,2020,ACE,8886798.00,3404263.00,NDA,69603.00,12360664.00,NJNG
Barnegat Light borough,Ocean,2021,ACE,9658849.00,3813733.00,NDA,69631.00,13542213.00,NJNG
Barnegat township,Ocean,2015,JCPL/ACE,90430459.00,26057205.00,476638.00,1059847.00,130354213.00,NJNG
Barnegat township,Ocean,2016,JCPL/ACE,18994373.00,2005784.00,39893.00,362832.00,34010363.00,NJNG
Barnegat township,Ocean,2017,JCPL/ACE,18134659.00,2026799.00,39722.00,362832.00,32252488.00,NJNG
Barnegat township,Ocean,2018,JCPL/ACE,90488088.00,29338890.00,459493.00,1085474.00,121371945.00,NJNG
Barnegat township,Ocean,2019,JCPL/ACE,88051365.00,28970604.00,449683.00,1088754.00,118560406.00,NJNG
Barnegat township,Ocean,2020,JCPL/ACE,91170458.00,27048042.00,456685.00,1073129.00,119748314.00,NJNG
Barnegat township,Ocean,2021,JCPL/ACE,96140267.00,29551809.00,462783.00,1069214.00,127224073.00,NJNG
Barrington borough,Camden,2015,PSEG,23285756.00,20526973.00,211461.00,426009.00,44450199.00,PSEG/SJG
Barrington borough,Camden,2016,PSEG,23151835.00,21601177.00,194496.00,428010.00,45375518.00,PSEG/SJG
Barrington borough,Camden,2017,PSEG,21915579.00,21193551.00,171138.00,461426.00,43741694.00,PSEG/SJG
Barrington borough,Camden,2018,PSEG,23174250.00,20100504.00,252343.00,514693.00,44041790.00,PSEG/SJG
Barrington borough,Camden,2019,PSEG,22682134.00,20157145.00,232287.00,480985.00,43552551.00,PSEG/SJG
Barrington borough,Camden,2020,PSEG,23008191.00,19508007.00,210062.00,480735.00,43206995.00,PSEG/SJG
Barrington borough,Camden,2021,PSEG,23450193.00,19055246.00,211597.00,476105.00,43193141.00,PSEG/SJG
